sample_id,quote_id,quote_text
top2018:430,q02940,"But home isn't where you land; home is where you launch. You can't pick your home any more than you can choose your family. In poker, you get five cards. Three of them you can swap out, but two are yours to keep: family and native land."
top2018:430,q02941,"Much of life is timing and circumstance, I see that now."
top2018:430,q02942,"There should be a word for this, the way it feels to steal something that’s already yours."
top2018:430,q02943,But how you feel love and understand love are two different things.
top2018:430,q02944,"Sometimes it's exhausting for me to simply walk into the house. I try and calm myself, remember that I've lived alone before. Sleeping by myself didn't kill me then and will not kill me now. But this what loss has taught me of love. Our house isn't simply empty, our home has been emptied. Love makes a place in your life, it makes a place for itself in your bed. Invisibly, it makes a place in your body, rerouting all your blood vessels, throbbing right alongside your heart. When it's gone, nothing is whole again."
top2018:430,q02945,"Is it love, or is it convenience?... She explained that connivence, habit, comfort, obligation- these are all things that wear the same clothing as love sometimes."
top2018:430,q02946,"Sometimes when you like where you end up, you don’t care how you got there."
top2018:430,q02947,There are too many loose ends in the world in need of knots.
top2018:430,q02948,One is the left shoe and the other is the right. They are the same but not interchangeable.
top2018:430,q02949,"A woman doesn't always have a choice, not in a meaningful way. Sometimes there is a debt that must be paid, a comfort that she is obliged to provide, a safe passage that must be secured. Everyone of us has lain down for a reason that was not love."
top2018:430,q02950,Marriage is between two people. There is no studio audience.
top2018:430,q02951,"I don’t believe that blood makes a family; kin is the circle you create, hands held tight."
top2018:430,q02952,"I'm alone in a way that's more than the fact that I am the only living person within these walls. Up until now, I thought I knew what was and wasn't possible. Maybe that's what innocence is, having no way to predict the pain of the future. When something happens that eclipses the imaginable, it changes a person. It's like the difference between a raw egg and a scrambled egg. It's the same thing, but it's not the same at all. That's the best way I can put it. I look in the mirror and I know it's me, but I can't quite recognize myself."
top2018:430,q02953,"You can never really unlove somebody. Maybe it changes shape, but it’s there."
top2018:430,q02954,"A marriage is more than your heart, it's your life. And we are not sharing ours."
top2018:430,q02955,It was a wonderful feeling to be grown and yet young. To be married but not settled. To be tied down yet free.
top2018:430,q02956,Gloria once told me that your best quality is also your worst.
top2018:430,q02957,"Love is the enemy of sound judgment, and occasionally this is in service of the good."
top2018:430,q02958,"I thought of Walter again. “Six or twelve,” he sometimes said when he was depressed, which wasn’t all the time but often enough that I recognized a blue mood when it was settling in. “That’s your fate as a black man. Carried by six or judged by twelve."
top2018:430,q02959,"When I was mad, I didn’t raise my voice. Instead, I lowered it to a register that you heard with your bones, not your ears."
top2018:430,q02960,Everything I do is a love letter addressed to you.
top2018:430,q02961,"If you lose it every time he tries to come clean, you’re encouraging him to lie."
top2018:430,q02962,"Yesterday I sat under the hickory tree in the front yard. It's the only place where I find rest and just feel fine. I know fine isn't a lot, but it's rare for me these days. Even when I'm happy, there is something in between me and whatever good news comes my way. It's like eating a butterscotch still sealed in the wrapper."
top2018:430,q02963,"Break your own heart, or they will break it for you."
