quote_id,sample_id,gr_work_id,page,idx,source_url,quote_text,bucket,tense,note
q00001,top1932:6399,266277,1,0,https://www.goodreads.com/work/quotes/266277,These old women gossips quite forgot how charming certain middle-aged men had appeared when they were girls; those recollections having been effaced by more recent memories of how middle-aged men had appeared when they themselves were middle-aged.,,,
q00002,top1933:6671,526906,1,0,https://www.goodreads.com/work/quotes/526906,"A real politician, and these were real politicians, never betrays his country to an outsider. He betrays it to himself. He is the enemy within.",,,
q00003,top1933:6671,526906,1,1,https://www.goodreads.com/work/quotes/526906,"Why should this one wolf be shut up for an individual crime, when mass crimes go unpunished? When all society can turn into a wolf and be celebrated with fife and drum and with flags curling in the wind? Why then shouldn’t this dog have his day too?",,,
q00004,top1933:6671,526906,1,2,https://www.goodreads.com/work/quotes/526906,"I have no money,"" I said severely, ""and I have no time. I am busy!""""Busy with what?"" she asked innocently.""Why my dear child, do you see all these books?",,,
q00005,top1933:6671,526906,1,3,https://www.goodreads.com/work/quotes/526906,"But there was a strange shame here that he could not overcome. Oh, the terrible disgrace, the ignominy of it—possessing a mythical monster in one’s own family, in this age of science and enlightenment!",,,
q00006,top1933:6671,526906,1,4,https://www.goodreads.com/work/quotes/526906,"There are such ships, there are such logs in the swamps of our minds, and they rise to the surface of our thoughts for a moment, only to sink again. There are such ships sunk in the wastes of our lives. The years have washed over them. They are forgotten. And yet they rise, ghosts of a past that is ended. They float before us for a while to our own great astonishment, then they settle down again and are as if they never existed.",,,
q00007,top1933:6671,526906,1,5,https://www.goodreads.com/work/quotes/526906,"Here's my watch. If I wind it, it marks time. It exists. It is alive. If the spring breaks, it stops. It no longer marks the hour. It is dead. Time does not exist for it. Same with you, when your main spring is gone.",,,
q00008,top1933:6671,526906,1,6,https://www.goodreads.com/work/quotes/526906,"There was something compelling in his eyes. Something of that strange compulsion of an abyss. That invitation of the void, of great heights: Come, cast yourself down. Just let yourself go. How do you know it isn't sweeter than anything you have ever imagined or experienced in life? Why do you fear? Why do you fear what you do not know as yet? Come! Come! Oh! the opium-sweet attraction of death!",,,
q00009,top1933:6671,526906,1,7,https://www.goodreads.com/work/quotes/526906,The peasantry was hardy and cheerful and paid its taxes to lord and priest generously and usually peacefully.,,,
q00010,top1933:6671,526906,1,8,https://www.goodreads.com/work/quotes/526906,"And there are, in the second place, werewolves that have but one body, in which the soul of man and of beast are at war. Then whatever weakens the human soul, either sin or darkness, solitude or cold, brings the wolf to the fore. And whatever weakens the beastly soul, either virtue or daylight, warmth or the companionship of man, raises up the human soul. For it is known that the wolf shrinks from that which invites the man.",,,
q00011,top1933:371,6405236,1,0,https://www.goodreads.com/work/quotes/6405236,"Just now I was thinking that I'd died and had to come to life again, had to build up a life myself. Only the new edifice has to be built with the ruins of the old. Or rather, I feel like a tree that has been blasted level with the ground, with only the roots still living. Some even of the roots are dead, some I have to kill, the rest have to grow again somehow.",,,
q00012,top1933:371,6405236,1,1,https://www.goodreads.com/work/quotes/6405236,"Let's get rid of abstractions-they don't exist. I agree about duties, but I don't believe it is a duty to try to arrange other people's lives for them in accordance with abstract principles, however well-meant and high-sounding. I don't believe in trying to reform the world. The thing for me is to live my own life as fully as possible. If I can “ improve "" myself then I've done something towards reforming humanity. My relation with the beauty of the world, this glorious O, is my own affair, my religion if you like. And as to my duty to others, it's to men and women, not to Man and Woman",,,
q00013,top1933:371,6405236,1,2,https://www.goodreads.com/work/quotes/6405236,"For Antony it was a moment of pure loss. If 'England' had meant anything it had meant the ideal of a relation between natural leaders and followers, duties increasing with privileges. Now they doubted themselves, they abdicated-they were still honest enough for that-because they knew they were inadequate to the situation. The younger, more insolent ones might go on trying, but they'd fail. They could no longer control the huge masses, those terrifying, almost mechanical masses who were one huge smoulder of resentment. The ideal of the gentleman was as dead as the reality.",,,
q00014,top1933:371,6405236,1,3,https://www.goodreads.com/work/quotes/6405236,"The only news he wanted to hear was thatpeople had become a little sensible and decent and peace-ful; he disliked this Cup-Tie attitude, in which peopletook sides for the sake of excitement, and rooted fortheir team to win without any sense of responsibility.This passion for vicarious belligerence! Obviouslyneither of them really believed that anything unpleasantwould happen to them, and the bogey of being stoned bystrikers was only evoked for the sake of a little uncostlyexcitement.",,,
q00015,top1933:371,6405236,1,4,https://www.goodreads.com/work/quotes/6405236,"There shall be no more gods; there shall be no more quiet and holy places of the earth; and the sea shall be filled with our dirty works. Your women shall breed like sows, and you shall work like robots. You shall value nothing for its own sake, but only for its market value. As for living, the machines will do that for you. In the morning you shall say, Would God it evening; and in the evening, Would God it were morning.",,,
q00016,top1933:4222,963356,1,0,https://www.goodreads.com/work/quotes/963356,"Well Pa, revenooers don’t never mess up with nobody in these parts, do they?” “I never heerd tell of ’em botherin’ ary man. Floridy is a fine state that-a-way. Folkses here is the best in the world to mind their own business and not go interferin’ in nobody else’s.",,,
q00017,top1933:4222,963356,1,1,https://www.goodreads.com/work/quotes/963356,"Men had reached into the scrub and along its boundaries, had snatched what they could get and had gone away, uneasy in that vast indifferent peace; for a man was nothing, crawling ant-like among the myrtle bushes under the pines. Now they were gone, it was as though they had never been. The silence of the scrub was primordial. The wood-thrush crying across it might have been the first bird in the world—or the last.",,,
q00018,top1933:4222,963356,1,2,https://www.goodreads.com/work/quotes/963356,"Good God, with a bountyLook down on Marion County,For the soil is so pore, and so awful rooty, too,I don’t know what to God the pore folks gonna do.",,,
q00019,top1933:4222,963356,1,3,https://www.goodreads.com/work/quotes/963356,"The worst things I knows of is rattlesnakes and some kinds o’ people. And a rattlesnake minds his own matters if he ain’t bothered. A man’s got a right to kill ary thing, snake or man, comes messin’ up with him.",,,
q00020,top1933:4222,963356,1,4,https://www.goodreads.com/work/quotes/963356,"Perhaps all men were moved against their will. A man ordered his life, and then an obscurity of circumstance sent him down a road that was not of his own desire or choosing. Something beyond a man’s immediate choice and will reached through the earth and stirred him. He did not see how any man might escape it.",,,
q00021,top1933:4222,963356,1,5,https://www.goodreads.com/work/quotes/963356,Hit don’t make no difference what a man perfesses. I been in a heap o’ churches. There’s the Nazarene Church and the Pentecost and the Holy Rollers and the Baptists and I don’t know what-all. I cain’t see much difference to nary one of ‘em. There’s a good to all of ‘em and there’s a bad.,,,
q00022,top1933:4222,963356,1,6,https://www.goodreads.com/work/quotes/963356,"He could understand that the creatures, the fish and the owls, should feed and frolic at moon-rise, at moon-down and at south-moon-over, for these were all plain marks to go by, direct and visible. He marvelled, padding on bare feet past the slat-fence of the clearing, that the moon was so strong that when it lay the other side of the earth, the creatures felt it and stirred by the hour it struck. The moon was far away, unseen, and it had power to move them.",,,
q00023,top1933:4222,963356,1,7,https://www.goodreads.com/work/quotes/963356,"The moon rose in the east and that was moon-rise. Six hours later it hung at its zenith between east and west, and that was south-moon-over. It set in the west and that was moon-down. Then it passed from sight and swung under the earth, between west and east. And when it was directly under the earth, that was south-moon-under.",,,
q00024,top1953:6923,352113,1,0,https://www.goodreads.com/work/quotes/352113,"But to punish and not to restore, that is the greatest of all offences.",,,
q00025,top1953:6923,352113,1,1,https://www.goodreads.com/work/quotes/352113,"There's a hard law, mejuffrou, that when a deep injury is done to us, we never recover until we forgive.",,,
q00026,top1953:6923,352113,1,2,https://www.goodreads.com/work/quotes/352113,"Meneer, said the captain, if man takes unto himself God's right to punish, then he must also take upon himself God's promise to restore.",,,
q00027,top1953:6923,352113,1,3,https://www.goodreads.com/work/quotes/352113,"But perhaps when you were too obedient, and did not do openly what others did, and were quiet in church and hard-working at school, then some unknown rebellion brewed in you, doing harm to you, though how I do not understand.",,,
q00028,top1953:6923,352113,1,4,https://www.goodreads.com/work/quotes/352113,"The fierce old man struck the arm of his chair and said, I would shoot him like a dog. Then because no one spoke, he said to the captain, wouldn't you? And the captain said, No. —You wouldn't? —No. —But he has offended against the race. Then the captain said trembling, Meneer, as a policeman I know an offence against the law, and as a Christian I know an offence against God; but I do not know an offence against the race.",,,
q00029,top1953:6923,352113,1,5,https://www.goodreads.com/work/quotes/352113,"Ag, what things are moods, that come and go like the wind that blows where it lists. For a man can be happy and free, and be cast down by a word. And a woman can be in the depths of misery, and be lifted up by an asking for forgiveness. So one goes from joy to dejection, and hurt to exaltation, and certainty to doubt, as when with some summer storm the whole world is dark and sombre, till suddenly the sun breaks through, almost at its setting, and bathes tree and grass and hill in green and yellow light, the link of which, as the English say, was never seen on land or sea.",,,
q00030,top1953:6923,352113,1,6,https://www.goodreads.com/work/quotes/352113,"And that next day, he was in the black mood, what we call the swartgalligheid, which is the black gall. And the heart is black too, and the world is black, and one can tell oneself that it will pass, but these are only words that one speaks to oneself, for while it is there it is no comfort that it will pass.",,,
q00031,top1953:6923,352113,1,7,https://www.goodreads.com/work/quotes/352113,"No one would have murdered the girl out of greed, for she had nothing; nor out of jealousy, for she had no lovers; nor out of anger, for she was submissive and gentle by nature. Therefore it was done from fear. And if a man of her own race and colour had made her with child, he would not have been afraid and murdered her, but would have gone shamefaced to her father, to confess and make reparation, as was their custom. Therefore it was a white man; and who, in that lonely and deserted place, but the man who was her master?",,,
q00032,top1953:6923,352113,1,8,https://www.goodreads.com/work/quotes/352113,"So the great waves of fear rose yet higher and higher, and all his strength was drained out of his body, and his face was white as death, so that it would have been God's mercy for him to die. He was afraid he might stumble and fall there in the street, so he went into our little park, which is no park at all but only a piece of the grass country fenced in and planted with trees, and there he sat on a seat and said, God have mercy upon me, O Lord Jesus Christ have mercy upon me. And all the people went by in the street, and saw only the lieutenant taking a few moments from his duty to sit on a seat in the park, and did not know it was a man in agony, calling on God for mercy. For to them the sun was shining, and the doves were calling in the trees, and they had no trouble greater than General Smuts or the Government, or the rumor that the black people were planning a great strike and procession in Johannesburg.",,,
q00033,top1953:6923,352113,1,9,https://www.goodreads.com/work/quotes/352113,"And Kappie sat there like a man with a puzzle with a hundred pieces, with a picture all but complete, with six or seven pieces that would not fit at all, whatever way you turned them; so that you knew this could not be the picture at all, but that the real picture must be something strange and different, and that the parts that looked complete must be something quite other, if these six or seven pieces were to be made to fit.",,,
