sample_id,quote_id,quote_text
top2024:THE WEDDING PEOPLE|Alison Espach,q08687,"There is no such thing as a happy place. Because when you are happy, everywhere is a happy place. And when you are sad, everywhere is a sad place."
top2024:THE WEDDING PEOPLE|Alison Espach,q08688,"I just mean, a story can be beautiful not because of the way it ends. But because of the way it’s written."
top2024:THE WEDDING PEOPLE|Alison Espach,q08689,"Your husband is not going to take care of you the way you think,” Phoebe says. “Nobody can take care of you the way you need to take care of yourself. It’s your job to take care of yourself like that."
top2024:THE WEDDING PEOPLE|Alison Espach,q08690,Life is strange. Always thinking that this one thing is going to make you happy. Because then you get it. And then you’re maybe not as happy as you imagined you would be. Because every day is just every day. Like the happiness becomes so big you have no choice but to live inside it. Until you can no longer see or feel it. And so you start to fixate on something else.
top2024:THE WEDDING PEOPLE|Alison Espach,q08691,"I think we talk about happiness all wrong. As if it’s this fixed state we’re going to reach. Like we’ll just be able to live there, forever. But that’s not my experience with happiness. For me, it comes and goes. It shows up and then disappears like a bubble."
top2024:THE WEDDING PEOPLE|Alison Espach,q08692,"She is so good at predicting what will happen in books, so bad at predicting what will happen in life. That is why she has always preferred books - because to be alive is so much harder."
top2024:THE WEDDING PEOPLE|Alison Espach,q08693,She doesn’t see the point in staying alive only to do all the same things that made her want to die.
top2024:THE WEDDING PEOPLE|Alison Espach,q08694,"Having a mother helps you believe that everybody wants to hear every little thing you think. Having a mother helps you speak without thinking. It allows you to trust in your most awful self, to yell and scream and cry, knowing that your mother will still love you by the end of it."
top2024:THE WEDDING PEOPLE|Alison Espach,q08695,"yes, sometimes she read too much. Sometimes, she read books instead of living a life,"
top2024:THE WEDDING PEOPLE|Alison Espach,q08696,"becoming who you want to be is just like anything else. It takes practice. It requires belief that one day, you’ll wake up and be a natural at it."
top2024:THE WEDDING PEOPLE|Alison Espach,q08697,She didn't understand how she could love herself. She didn't understand what people even meant when they said they loved themselves. She honestly didn't believe them. How could you love yourself? How could you love yourself when you know every single horrible thing you've ever thought?
top2024:THE WEDDING PEOPLE|Alison Espach,q08698,"Love is visible—it paints the air between two people a different color, and everyone can see it."
top2024:THE WEDDING PEOPLE|Alison Espach,q08699,And maybe that’s it: You do things in the moment for the person you hope you might be two years from now.
top2024:THE WEDDING PEOPLE|Alison Espach,q08700,"It is not an easy thing to do, walk away from what you’ve built and save yourself. Destroying Phoebe’s marriage felt like destroying herself. Walking out of the classroom felt like killing the twenty-two-year-old who tried to save her own life by applying to graduate school. It is so much easier to sit in things and wait for something to save us. For the past two years, Phoebe sat in the bad things the way she used to sit in the snow as a child. An hour would go by and it would be very hard for her to get back up. Eventually she looked down at her toes and became confused: Why are they frozen? It was her father who picked her up, said, It’s time to come inside. But now she has to learn when it’s time to come inside. She has to learn to check in with her toes when nobody else is looking. To care for them when no one else will."
top2024:THE WEDDING PEOPLE|Alison Espach,q08701,"Phoebe didn't think she'd end up being a woman like this. But if the last few years have taught her anything, it's that you really can't ever know who you are going to become."
top2024:THE WEDDING PEOPLE|Alison Espach,q08702,"But Phoebe is starting to understand that on some nights, Lila is probably the loneliest girl in the world, just like Phoebe. And maybe they are all lonely. Maybe this is just what it means to be a person. To constantly reckon with being a single being in one body. Maybe everybody sits up at night and creates arguments in their head for why they are the loneliest person in the world."
top2024:THE WEDDING PEOPLE|Alison Espach,q08703,You honestly expect me to believe that people go on vacations without making a spreadsheet of fun first?
top2024:THE WEDDING PEOPLE|Alison Espach,q08704,"No, Phoebe will never be a mother. Phoebe will never know what it’s like to create life inside of her. But there are other ways to create. Other ways to love. Other reasons to live."
top2024:THE WEDDING PEOPLE|Alison Espach,q08705,I didn’t want to be saved from myself. Nobody does! All we want is permission to stand there naked and be our damned selves.
