sample_id,quote_id,quote_text
top2023:THE COVENANT OF WATER|Abraham Verghese,q07784,Fiction is the great lie that tells the truth about how the world lives!
top2023:THE COVENANT OF WATER|Abraham Verghese,q07785,To see the miraculous in the ordinary is a more precious gift than prophecy.
top2023:THE COVENANT OF WATER|Abraham Verghese,q07786,We don’t have children to fulfill our dreams. Children allow us to let go of the dreams we were never meant to fulfill.
top2023:THE COVENANT OF WATER|Abraham Verghese,q07787,I have been bent and broken but I hope into better shape.
top2023:THE COVENANT OF WATER|Abraham Verghese,q07788,"The water she first stepped into minutes ago is long gone and yet it is here, past and present and future inexorably coupled, like time made incarnate. This is the covenant of water: that they’re all linked inescapably by their acts of commission and omission, and no one stands alone."
top2023:THE COVENANT OF WATER|Abraham Verghese,q07789,"In a time of deceit, telling the truth is a revolutionary act."
top2023:THE COVENANT OF WATER|Abraham Verghese,q07790,"To be listened to is healing,"
top2023:THE COVENANT OF WATER|Abraham Verghese,q07791,Secrecy lives in the same rooms as loneliness.
top2023:THE COVENANT OF WATER|Abraham Verghese,q07792,Roses would be annoying weeds if the blooms never withered and died. Beauty resides in the knowledge that it doesn’t last.
top2023:THE COVENANT OF WATER|Abraham Verghese,q07793,A dog lives for you. A cat just lives with you.
top2023:THE COVENANT OF WATER|Abraham Verghese,q07794,"But such memories are woven from gossamer threads; time eats holes in the fabric, and these she must darn with myth and fable."
top2023:THE COVENANT OF WATER|Abraham Verghese,q07795,Success is not money! Success is you are fully loving what you are doing. That only is success!
top2023:THE COVENANT OF WATER|Abraham Verghese,q07796,"The voyage of discovery is not about new lands, but having new eyes."
top2023:THE COVENANT OF WATER|Abraham Verghese,q07797,You can’t walk across a lake just because you change its name to “land.” Labels matter.
top2023:THE COVENANT OF WATER|Abraham Verghese,q07798,"Ammachi, when I come to the end of a book and I look up, just four days have passed. But in that time I’ve lived through three generations and learned more about the world and about myself than I do during a year in school. Ahab, Queequeg, Ophelia, and other characters die on the page so that we might live better lives."
top2023:THE COVENANT OF WATER|Abraham Verghese,q07799,"Philipose quotes Gandhi: “There are people in the world so hungry, that God cannot appear to them except in the form of food."
top2023:THE COVENANT OF WATER|Abraham Verghese,q07800,"sometimes we have to “live the question,” not push for the answer."
top2023:THE COVENANT OF WATER|Abraham Verghese,q07801,All water is connected and only land and people are discontinuous. And his land is a place where he can no longer stay.
top2023:THE COVENANT OF WATER|Abraham Verghese,q07802,"Sooner or later, she must sit down to the meal of consequences"
top2023:THE COVENANT OF WATER|Abraham Verghese,q07803,"The minutes we spend watching the waves don’t count against our life spans,"
top2023:THE COVENANT OF WATER|Abraham Verghese,q07804,"the sweetness of life is sure in only two things: love and sugar. If you don’t get enough of the first, have more of the second!"
top2023:THE COVENANT OF WATER|Abraham Verghese,q07805,there’s no going back; time and water move on relentlessly.
top2023:THE COVENANT OF WATER|Abraham Verghese,q07806,"Child, the past is past, and furthermore it’s different every time I remember it."
top2023:THE COVENANT OF WATER|Abraham Verghese,q07807,"Such precious, precious water, Lord, water from our own well; this water that is our covenant with You, with this soil, with the life You granted us. We are born and baptized in this water, we grow full of pride, we sin, we are broken, we suffer, but with water we are cleansed of our transgressions, we are forgiven, and we are born again, day after day till the end of our days. Her mat takes her weight kindly, eases"
top2023:THE COVENANT OF WATER|Abraham Verghese,q07808,"Mariamma, sometimes when you are most afraid, when you feel most helpless, that is when God is pointing out a path for you."
top2023:THE COVENANT OF WATER|Abraham Verghese,q07809,"Even before his brain digests these sights, his body—skin, nerve endings, lungs, heart—recognizes the geography of his birth. He never understood how much it mattered. Every bit of this lush landscape is his; its every atom contains him."
top2023:THE COVENANT OF WATER|Abraham Verghese,q07810,"when it’s all done, when life is almost over, what do you want to remember?"
