sample_id,quote_id,quote_text
top2025:THE SECRET OF SECRETS|Dan Brown,q09849,"Fear makes us selfish,” Katherine said. “The more we fear death, the more we cling to ourselves, our belongings, our safe spaces … to that which is familiar. We exhibit increased nationalism, racism, and religious intolerance. We flout authority, ignore social mores, steal from others to provide for ourselves, and become more materialistic. We even abandon our feelings of environmental responsibility because we sense the planet is a lost cause and we’re all doomed anyway.” “That’s alarming,” Nagel said. “Those are precisely the behaviors that fuel global unrest, terrorism, cultural division, and war.” “Yes, and that make the CIA’s job so difficult. Unfortunately, it becomes a hall of mirrors. The worse things get, the worse we behave. And the worse we behave, the worse things get.” “And it’s your theory that this troubling"
top2025:THE SECRET OF SECRETS|Dan Brown,q09850,"Religions had learned long ago that a human mind facing the terrifying prospect of eternal nothingness would believe almost anything. Timor mortis est pater religionis, Langdon mused, recalling the ancient saying made famous by Upton Sinclair. Fear of death is the father of religion."
top2025:THE SECRET OF SECRETS|Dan Brown,q09851,"The most important point in the research, however, shows that those who do not fear death, for whatever reason, tend to exhibit behavior that is more benevolent, accepting of others, cooperative, and caring about the environment. Essentially, this means that if we could all free our minds of the burden, of the terror we feel about death…” “Then we would find ourselves in a dramatically improved world.” “Precisely,” Katherine said. “To quote the great Czech psychiatrist Stanislav Grof, ‘The elimination of the fear of death transforms the individual’s way of being in the world.’ Grof believes that a radical inner transformation of consciousness might be our only hope of surviving the global crisis brought on by the Western mechanistic paradigm."
top2025:THE SECRET OF SECRETS|Dan Brown,q09852,"The Starbucks mermaid,” Langdon had railed, “has two tails! That means she’s not a mermaid at all, but rather a siren—an evil seductress who lures sailors to follow her blindly toward shipwreck and ultimately toward death!"
top2025:THE SECRET OF SECRETS|Dan Brown,q09853,"The day science begins to study non-physical phenomena, it will make more progress in one decade than in all the previous centuries. —Nikola Tesla"
top2025:THE SECRET OF SECRETS|Dan Brown,q09854,To say someone has an ‘enlightened mind’ is simply another way of saying they have a ‘better receiver.
top2025:THE SECRET OF SECRETS|Dan Brown,q09855,The right book at the right time can save your life.’
top2025:THE SECRET OF SECRETS|Dan Brown,q09856,"When we lose ourselves in the virtual world,” Katherine said, “we are giving ourselves a kind of nonlocal experience that, in many ways, parallels an out-of-body experience—we are detached, weightless, and yet connected to all things. Our filters are dropped…We can interact with the entire world through one screen and experience almost anything."
top2025:THE SECRET OF SECRETS|Dan Brown,q09857,"when you see someone glued to a phone, you see a person ignoring this world—rather than a person engrossed in another world…a world that, like this one, is made up of communities, friends, beauty, horror, love, conflict, right and wrong. It’s all there. The online world is not so different from our world…except for one stark difference.” Katherine smiled. “It’s nonlocal."
top2025:THE SECRET OF SECRETS|Dan Brown,q09858,"Far too many fear death and regard it as the worst disaster that can befall them: they know nothing of what they speak. Death comes as a dissolution from an exhausted body … Just as the body leaves the mother’s womb when it is mature in it, so also does the soul leave the body when it has come to perfection."
top2025:THE SECRET OF SECRETS|Dan Brown,q09859,Sometimes a change in perspective is all it takes to reveal the Truth.
top2025:THE SECRET OF SECRETS|Dan Brown,q09860,"The city of Prague had always felt enchanted to him. It was a moment frozen in time. Having suffered far less damage than other European cities in World War II, the historical capital of Bohemia enjoyed a dazzling skyline that still sparkled with all its original architecture—a uniquely varied and pristine sampling of Romanesque, Gothic, Baroque, Art Nouveau, and Neoclassical designs. The city’s nickname—Stověžatá—literally meant “with a hundred spires,” although the actual number of spires and steeples in Prague was closer to seven hundred. In the summer, the city occasionally illuminated them with a sea of green floodlights; the awe-inspiring effect was said to have inspired Hollywood’s depiction in The Wizard of Oz of the Emerald City—a mystical destination that, like Prague, was believed to be a place of magical possibilities."
top2025:THE SECRET OF SECRETS|Dan Brown,q09861,"human being is a part of the whole called by us “universe”… He experiences himself, his thoughts and feelings as something separated from the rest, a kind of optical delusion of his consciousness. This delusion is a kind of prison for us."
top2025:THE SECRET OF SECRETS|Dan Brown,q09862,We proclaim the Truth that serves our needs. - Robert Langdon
top2025:THE SECRET OF SECRETS|Dan Brown,q09863,"The online world,” Katherine said, “is untethered from your location. You inhabit it as a bodiless mind…free from all physical restraints. You move effortlessly anywhere, see what you want, learn what you want, interact with other bodiless minds."
