sample_id,quote_id,quote_text
top2024:TABLE FOR TWO|Amor Towles,q09367,"The personality of a man always poses the biggest obstacle to his own education, thought Charlie. He’s either too proud, too stubborn, or too timid to submit to the process of discovery. Many of life’s lessons come through trial or tribulation, and the cost of those lessons shouldn’t be taken lightly. But at least half of what a man hasn’t learned in his lifetime he could have learned with ease. This is one of the insights that comes with age—when one understands the nature of discovery but no longer has the time or energy to submit to its splendors. Thus, we are doomed to end our days in an ignorance largely of our own making."
top2024:TABLE FOR TWO|Amor Towles,q09368,"The limitations of choosing a twenty-pound turkey as the centerpiece of the Thanksgiving meal have only been compounded by the inexplicable tradition of having every member of the family contribute a dish. Relatives who should never be allowed to set foot in a kitchen are suddenly walking through your door with some sort of vegetable casserole in which the “secret ingredient” is mayonnaise. And when cousin Betsy arrives with such a mishap in hand, one can take no comfort from thoughts of the future, for once a single person politely compliments the dish, its presence at Thanksgiving will be deemed sacrosanct. Then not even the death of cousin Betsy can save you from it, because as soon as she’s in the grave, her daughter will proudly pick up the baton."
top2024:TABLE FOR TWO|Amor Towles,q09369,"It is a funny aspect of life, thought Charlie, how a group of grown people can convince themselves to do something that none of them really want to do. They start by talking an idea into existence. Once the idea begins to take shape and dimension, they'll talk away their hesitations, replacing them with all the supposed benefits, one by one. They'll talk away their instincts and their second thoughts and their common sense too, until they are moving in lockstep together toward some shared intention that doesn't appeal to any one of them."
top2024:TABLE FOR TWO|Amor Towles,q09370,One of the indisputable charms of the Metropolitan Museum is that the admission of twenty dollars is “recommended.” The very notion of a recommended fee is so perfectly aristocratic. For to set a definitive price on access to the riches of the world’s cultures after the robber barons had gone to such trouble to pillage them on our behalf would simply have been tacky.
top2024:TABLE FOR TWO|Amor Towles,q09371,"It’s like my momma says: the more channels they’ve got on TV, the less people know."
top2024:TABLE FOR TWO|Amor Towles,q09372,"No one is born pompous. To attain that state requires a certain amount of planning and effort. Presumably you could achieve it by a variety of means, but one sure way is to attend an old prep school that’s a little past its prime; while there, exhibit some facility in a field sport that you will never have cause to play again; room with a fellow whose name is over the library door; and along the way, gain familiarity with a pastime that requires travel and specialized apparel—such as duck hunting or downhill skiing. Follow these simple steps and you are sure to gain the necessary self-assurance to expound authoritatively on wine, politics, and the lives of the less fortunate—and to generally go on and on about anything else."
top2024:TABLE FOR TWO|Amor Towles,q09373,"The road along which a young man discovers what he is capable of is no midwestern interstate. It has no uninterrupted views to the horizon, no painted white lines, no brightly lit signs indicating the distance to one’s destination. Rather, it is a narrow and winding byway crowded with undergrowth and overhung with branches."
top2024:TABLE FOR TWO|Amor Towles,q09374,She was quiet the way a heated skillet is quiet—in the moments before you drop the fat.
top2024:TABLE FOR TWO|Amor Towles,q09375,Dismissed!” shouted Irina that night in their little apartment. “How does one get fired from Communism!
top2024:TABLE FOR TWO|Amor Towles,q09376,"Say what you will about classical music, one thing it has going for it is that it lets your mind wander. Rock bands, blues bands—and yes, salsa bands too—they’re all intent on securing your undivided attention. That’s what the drums and amplifiers are there for. But classical musicians seem more willing to let you settle down, settle in, and follow your thoughts wheresoever they might lead you."
top2024:TABLE FOR TWO|Amor Towles,q09377,"Oh, how we applauded. First in our chairs, and then on our feet. For we were not simply applauding this virtuoso, or the composition, or Bach. We were applauding one another. Applauding the joy which we had shared and which had become the fuller through the sharing."
top2024:TABLE FOR TWO|Amor Towles,q09378,"Not all drunks become mean, Jerry. They don’t all become violent. Some become quiet. Others become the life of the party. But when they’re drinking, there’s one thing they all become. And that’s liars. Every last one of them."
top2024:TABLE FOR TWO|Amor Towles,q09379,"In the aftermath of a heated conversation, bad ideas travel at the speed of light."
top2024:TABLE FOR TWO|Amor Towles,q09380,"—Do you miss it? —The relationship? —No, the city. —As far as I’m concerned, the Rockies aren’t high enough."
top2024:TABLE FOR TWO|Amor Towles,q09381,—My mother told me it was more important to be interested than interesting.
top2024:TABLE FOR TWO|Amor Towles,q09382,"Dressed in a navy skirt suit she looked like she was two years out of law school, working in a large firm with every expectation of making junior partner in three years. That may seem like a lot to surmise from fifty feet, but when you work in D.C., spotting ambitious young lawyers is like spotting aspiring actresses in Hollywood."
top2024:TABLE FOR TWO|Amor Towles,q09383,"I have lived under these circumstances for nine years, my friend. That is a long time to give one’s life over to resentment."
top2024:TABLE FOR TWO|Amor Towles,q09384,"And though Timothy’s apartment was in the neighborhood, and no one was in danger, Lieutenant McCusker instructed Detective Dawson to sound the siren, which in turn blared with such a sense of purpose that even from five blocks away it could be heard in an eighth-floor apartment.Oh, Timothy.At long last, here comes your experience.From The Ballad of Timothy Touchett (Page 74)In Table for Two by Amor Towles"
top2024:TABLE FOR TWO|Amor Towles,q09385,"But when a man is paid to provide his opinions and he's had some success in doing so, he is bound to become a little insufferable."
top2024:TABLE FOR TWO|Amor Towles,q09386,Peter and Sharon were of that generation which had set itself apart from thousands of years of human behavior by showing an interest in the opinions of their children.
top2024:TABLE FOR TWO|Amor Towles,q09387,the prelude to the first of Bach’s Suites for Cello (in G Major).
