sample_id,quote_id,quote_text
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07104,"History, memory is by definition fiction. Once an event is no longer present, but remembered, it is narrative. And we can choose the narratives we tell—about our own lives, our own stories, our own relationships. We can choose the chapters we give meaning."
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07105,"i hope you walk through the world knowing your value. I hope you find a passion--something you love, something that lights you up inside. I hope you find the peace and confidence it takes to trust where your path leads. Remember it is only yours. Others can wave and cheer, but no one can give you directions. They have not been where you are going. I hope you will understand someday that just because you become a mother doesn't mean you stop becoming a woman. And above all else, I hope you know that even if you can't see me, I am always with you."
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07106,What got you here won't get you there.
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07107,"History is an asset, not a detriment. It's nice to be with someone who knows you, who knows your history. It will get even more important the longer you live. Learning how to find your way back can be harder than starting over. But damn, if you can, it's worth it."
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07108,"Every day the world is born again. Every day the sun rises. It is a miracle, I think. A simple, everyday miracle. Life."
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07109,"My mother, you see, is the great love of my life."
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07110,"And finally to you, this time around: one of life’s most important challenges is determining what to hold on to and what to let go of. Do not be fooled into believing that you do not know which is which. Follow the feeling, follow it all the way home."
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07111,The present is relentless. It forces us over and over again to pay attention. It requires all of us. As well it should.
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07112,We made promises in a world lit with light. We do not know how to keep them in the darkness
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07113,There's something about photography I love -- a whole memory caught in a moment.
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07114,"I don’t think bad action makes you a bad person. I think life is far more complicated than that, and it’s reductive to think otherwise."
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07115,"The difference between being good and bad at something is just interest,"
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07116,"It’s possible actions only have the weight we give them,” she says. “We can decide what something means."
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07117,Never trust anyone who hasn’t had their heart broken. It’s a before and after. You never quite see the world the same way again.
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07118,"She made me in her image, but she forgot the most important part. She forgot that one day she’d leave, that she already had, and then I’d be left with nothing. When you’re just a reflection, what happens when the image vanishes?"
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07119,"I think I'm really good at travel and less good at what happens when you stand still,"" he says. ""I like to be a visitor. In places, in hotels, sometimes in other people's lives."
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07120,"You act like you don’t know how you got here, like you just woke up and looked around and thought, Huh—but I have news for you. Even inaction is a choice."
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07121,Actions only have the weight we give them. We can decide what something means.
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07122,"My mother was the first person you called for a recipe (a cup of onions, garlic, don’t forget the pinch of sugar) and the last one you called at night when you just couldn’t sleep (a cup of hot water with lemon, lavender oil, magnesium pills). She knew the exact ratio of olive oil to garlic in any recipe, and she could whip up dinner from three pantry items, easy. She had all the answers. I, on the other hand, have none of them, and now I no longer have her."
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07123,"The entire town is built around the cove of the sea. It looks like an amphitheater, enjoying the performance of the ocean."
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07124,"It has all made my blood pump faster and my skin feel softer, weightier. The blessing of this life, this one, brilliant, beautiful life. All the loss and anguish. All the joy that makes it possible. The tender connections, the fragility, the impossible odds of being here, now, together. The choice of continuing to make it so."
top2022:ONE ITALIAN SUMMER|Rebecca Serle,q07125,"The magic of Italy seems to be in its ability to connect to some time out of time, some era that is unmarked by modernity. There is so much peacefulness in being present, right here."
