sample_id,frame,year,title,author,label,raw_label,confidence,narrating_situation,agent_note,why,n_quotes,event_past,event_present,beat_past,beat_present,bucket_event,bucket_dialogue,bucket_gnomic,bucket_paratext,bucket_unclear
top1931:413,pilot,1931,AMERICAN BEAUTY,Edna Ferber,ABSTAIN,INSUFFICIENT,,unclear,One event quote is insufficient to infer a narrating situation.,only 1 tense-bearing quotes,3,1,0,0,0,1,1,0,0,1
top1931:2878,pilot,1931,MAID IN WAITING,John Galsworthy,ABSTAIN,UNCLEAR,,unclear,Classified from the supplied excerpts only.,situation='unclear',6,3,2,0,0,5,0,1,0,0
top1931:5304,pilot,1931,THE GOOD EARTH,Pearl S. Buck,PAST,PAST,high,retrospective,,"100% past / 0% present of 15, situation=retrospective",27,15,0,0,0,15,9,2,1,0
top1932:1865,pilot,1932,FLOWERING WILDERNESS,John Galsworthy,ABSTAIN,INSUFFICIENT,,retrospective,,only 4 tense-bearing quotes,7,3,0,1,0,3,1,2,0,1
top1932:2450,pilot,1932,INVITATION TO THE WALTZ,Rosamond Lehmann,OTHER,DUAL,med,dual,The excerpts include both present-tense journal-style first-person narration and past-tense third-person narration.,"40% past / 60% present of 5, situation=dual",6,2,3,0,0,5,0,1,0,0
top1932:4216,pilot,1932,SONS,Pearl S. Buck,ABSTAIN,INSUFFICIENT,,retrospective,,only 4 tense-bearing quotes,11,3,0,1,0,3,4,3,0,1
top1932:4639,pilot,1932,THE BISHOP'S JAEGERS,Thorne Smith,ABSTAIN,INSUFFICIENT,,retrospective,,only 2 tense-bearing quotes,2,2,0,0,0,2,0,0,0,0
top1932:5193,pilot,1932,THE FOUNTAIN,Charles Morgan,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,1,1,0,0,0,1,0,0,0,0
top1932:6279,pilot,1932,THE SHELTERED LIFE,Ellen Glasgow,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,1,0,0,0,0,0,0,1,0,0
top1932:6399,pilot,1932,THE STORE,T. S. Stribling,ABSTAIN,INSUFFICIENT,,unclear,,only 1 tense-bearing quotes,1,1,0,0,0,1,0,0,0,0
top1933:371,pilot,1933,ALL MEN ARE ENEMIES,Richard Aldington,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,5,2,1,0,0,3,2,0,0,0
top1933:518,pilot,1933,AS THE EARTH TURNS,Gladys Hasty Carroll,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,1,1,0,0,0,1,0,0,0,0
top1933:2731,pilot,1933,"LITTLE MAN, WHAT NOW?",Hans Fallada,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,4,2,1,0,0,3,1,0,0,0
top1933:4222,pilot,1933,SOUTH MOON UNDER,Marjorie K. Rawlings,ABSTAIN,INSUFFICIENT,,retrospective,,only 4 tense-bearing quotes,8,4,0,0,0,4,3,0,0,1
top1933:6671,pilot,1933,THE WEREWOLF OF PARIS,Guy Endore,PAST,PAST,med,retrospective,,"80% past / 20% present of 5, situation=retrospective",9,3,1,1,0,4,2,3,0,0
top1934:2031,pilot,1934,"GOOD-BYE, MR. CHIPS",James Hilton,PAST,PAST,high,retrospective,,"96% past / 4% present of 24, situation=retrospective",29,21,1,2,0,22,3,2,2,0
top1934:2626,pilot,1934,LAMB IN HIS BOSOM,Caroline Miller,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,3,2,0,1,0,2,1,0,0,0
top1934:2791,pilot,1934,LOST HORIZON,James Hilton,PAST,PAST,high,retrospective,,"100% past / 0% present of 44, situation=retrospective",67,31,0,13,0,31,22,8,3,3
top1934:5191,pilot,1934,THE FORTY DAYS OF MUSA DAGH,Franz Werfel,ABSTAIN,INSUFFICIENT,,retrospective,Three past event-narration excerpts; remaining excerpts are gnomic. No dialogue excerpts.,only 3 tense-bearing quotes,7,3,0,0,0,3,0,4,0,0
top1934:7359,pilot,1934,WORK OF ART,Sinclair Lewis,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,1,1,0,0,0,1,0,0,0,0
top1935:2467,pilot,1935,IT CAN'T HAPPEN HERE,Sinclair Lewis,PAST,PAST,high,retrospective,,"100% past / 0% present of 41, situation=retrospective",86,36,0,5,0,36,29,11,4,6
top1935:3338,pilot,1935,OF TIME AND THE RIVER,Thomas Wolfe,PAST,PAST,CONFLICT,retrospective,Manual audit: consecutive excerpts confirm past base narration; present passages are stylistic or reflective.,"44% past / 56% present of 9, situation=retrospective",14,4,5,0,0,9,0,5,0,0
top1936:2026,pilot,1936,GONE WITH THE WIND,Margaret Mitchell,PAST,PAST,med,retrospective,,"80% past / 20% present of 5, situation=retrospective",26,2,1,2,0,3,20,3,0,0
top1936:5608,pilot,1936,THE LAST PURITAN,George Santayana,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,1,0,0,0,0,0,0,1,0,0
top1937:3291,pilot,1937,NORTHWEST PASSAGE,Kenneth Roberts,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,2,1,0,0,0,1,0,1,0,0
top1937:3337,pilot,1937,OF MICE AND MEN,John Steinbeck,PAST,PAST,high,retrospective,,"100% past / 0% present of 10, situation=retrospective",26,7,0,3,0,7,18,1,0,0
top1937:4844,pilot,1937,THE CITADEL,A. J. Cronin,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,3,1,0,0,0,1,2,0,0,0
top1937:6097,pilot,1937,THE RAINS CAME,Louis Bromfield,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,1,1,0,0,0,1,0,0,0,0
top1937:6761,pilot,1937,THE YEARS,Virginia Woolf,PAST,PAST,high,retrospective,,"100% past / 0% present of 22, situation=retrospective",25,3,0,19,0,3,22,0,0,0
top1937:6769,pilot,1937,THEATRE,Somerset Maugham,PAST,PAST,med,retrospective,,"100% past / 0% present of 6, situation=retrospective",18,5,0,1,0,5,8,5,0,0
top1938:389,pilot,1938,ALL THIS AND HEAVEN TOO,Rachel Field,ABSTAIN,INSUFFICIENT,,retrospective,,only 4 tense-bearing quotes,9,2,0,2,0,2,4,2,0,1
top1938:3727,pilot,1938,REBECCA,Daphne Du Maurier,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,1,0,0,0,0,0,1,0,0,0
top1938:6760,pilot,1938,THE YEARLING,Marjorie Kinnan Rawlings,PAST,PAST,high,retrospective,,"96% past / 4% present of 26, situation=retrospective",32,22,1,3,0,23,8,1,0,0
top1939:2600,pilot,1939,KITTY FOYLE,Christopher Morley,ABSTAIN,INSUFFICIENT,,simultaneous,,only 2 tense-bearing quotes,3,0,2,0,0,2,0,1,0,0
top1939:3039,pilot,1939,MOMENT IN PEKING,Lin Yutang,ABSTAIN,INSUFFICIENT,,unclear,"No event-narration quotes remain after bucketing, so the narrating situation cannot be determined.",only 0 tense-bearing quotes,2,0,0,0,0,0,1,1,0,0
top1939:5317,pilot,1939,THE GRAPES OF WRATH,John Steinbeck,PAST,PAST,high,retrospective,,"89% past / 11% present of 36, situation=retrospective",92,21,4,11,0,25,48,13,6,0
top1939:5861,pilot,1939,THE NAZARENE,Sholem Asch,ABSTAIN,INSUFFICIENT,,retrospective,,only 2 tense-bearing quotes,3,2,0,0,0,2,0,1,0,0
top1940:1886,pilot,1940,FOR WHOM THE BELL TOLLS,Ernest Hemingway,PAST,PAST,high,retrospective,,"82% past / 18% present of 34, situation=retrospective",70,22,6,6,0,28,30,10,0,2
top1940:2286,pilot,1940,HOW GREEN WAS MY VALLEY,Richard Llewellyn,PAST,PAST,high,retrospective,,"67% past / 33% present of 9, situation=retrospective",29,6,3,0,0,9,2,18,0,0
top1940:3120,pilot,1940,MRS. MINIVER,Jan Struther,PAST,PAST,high,retrospective,,"100% past / 0% present of 34, situation=retrospective",44,29,0,5,0,29,7,8,0,0
top1941:3715,pilot,1941,RANDOM HARVEST,James Hilton,PAST,PAST,med,retrospective,,"100% past / 0% present of 5, situation=retrospective",10,4,0,1,0,4,6,0,0,0
top1941:5530,pilot,1941,THE KEYS OF THE KINGDOM,A. J. Cronin,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,12,0,0,0,0,0,9,3,0,0
top1942:450,pilot,1942,AND NOW TOMORROW,Rachel Field,PAST,PAST,med,retrospective,All event-narration evidence is retrospective; non-event excerpts are gnomic reflections.,"100% past / 0% present of 7, situation=retrospective",12,7,0,0,0,7,0,5,0,0
top1942:533,pilot,1942,ASSIGNMENT IN BRITTANY,Helen MacInnes,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,4,1,0,2,0,1,2,1,0,0
