sample_id,quote_id,quote_text
top2018:2758,q02918,"Justice. It wasn’t about the greater good. It was about what was right and wrong on an individual basis. Person by person. Because if you neglected the people, the idea of a greater good was a pipe dream created by those whose idea of the “greater good” almost always tended to favor themselves and people like them."
top2018:2758,q02919,The narcissist could not feel empathy toward others. Which meant that the lives of others held no value to a narcissist. Killing could even be like a hit of fentanyl: instant euphoria from the domination and destruction of another. That was why virtually every serial murderer was also a narcissist.
top2018:2758,q02920,She’d heard that the author Margaret Mitchell had never lived in a place with more than one bedroom for a simple reason: She had never wanted houseguests.
top2018:2758,q02921,"when people stop believing in their institutions, the government often gets toppled."
top2018:2758,q02922,if she was in a library.
top2018:2758,q02923,"For me, the Canyon isn’t just a tourist destination. It’s a living, breathing place. It has a dozen plants that live nowhere else."
top2018:2758,q02924,"On entering the cave, they had found evidence of an ancient civilization that might be, as the article said, using a long-discarded derogatory term, “Oriental"
top2018:2758,q02925,"That would change dramatically the farther down she trekked. The South Rim averaged nearly sixty inches of snow a year, while Phantom Ranch received less than one."
top2018:2758,q02926,The trip to the Canyon’s South Rim covered sixty-five miles each way and took a leisurely two hours and fifteen minutes. She could have flown from Phoenix to Seattle in less time.
top2018:2758,q02927,"Life was not the movies, or books. Sometimes the simplest answer was the right one."
top2018:2758,q02928,"What would an overthrow of the government look like?” said Blum slowly. “In other countries, the president or a group of generals takes over the media and says due to—fill in the bullshit reason—martial law is being declared and elections are being suspended because there are enemies of the country all over, and also in high places. That justifies them snubbing their noses at democratic norms. Then the president says he’s going to serve for life."
top2018:2758,q02929,and where he had gotten that information.
top2018:2758,q02930,Hindsight held a level of perfection that real-time decision-making could not provide.
top2018:2758,q02931,She’d popped the Heineken open and drunk it.
top2018:2758,q02932,"Look at American business, for example. It exists only on a fiscal quarterly basis, because the powers-that-be on Wall Street say it has to."
top2018:2758,q02933,"Where was he staying?” Rice said, “We checked at El Tovar, Bright Angel, Thunderbird, and the rest of the possible places. He wasn’t booked at any of them.” “He had to stay somewhere.” “It could have been at one of the campgrounds, either inside the park or nearby,” noted Lambert. “Okay, he took the train up here. But if he came from DC he probably first flew into Sky Harbor. He might have stayed somewhere there until he went to Williams, Arizona. That’s where the train leaves from, right?” Lambert nodded. “There’s a hotel at the train depot. He might have stayed there.” “Have you made a search down here?” “We covered as much ground as we could. No trace so far. And we’re losing the light.” Pine took all this in. In the distance came the sharp bark of a coyote followed by the echoing rattle of a snake. There might be a standoff going on out there between predators as the lights of nature grew dim, thought Pine. The muscular walls of the canyon held a complex series of fragile ecosystems. It was the human factor that had intruded here. Nature always seemed to get on all right until people showed up. She turned her head to the left, where a long way away"
top2018:2758,q02934,People often discounted narcissism as relatively harmless because the term sometimes conjured the clichéd image of a vain man staring longingly at his reflection in a pool of water or a mirror.
top2018:2758,q02935,was the master; humans were merely visiting.
top2018:2758,q02936,don’t know. I’ve found that people in power can be incredibly insulated and therefore unrealistic about what they can accomplish.
top2018:2758,q02937,"The Bureau was still behind the times on technology,"
top2018:2758,q02938,Stop trusting the freaking Russians. They are not our friend.
top2018:2758,q02939,"my office that I can’t really transport.” “What the hell are you talking about?” “Just trust me, sir.” “I don’t see why I should. I’ve already gotten an earful from the DD about you.” Pine drew a deep breath. “I think the DD might be involved in what’s going on.” Which is the reason I’m calling you and not him, she said to herself. “What in the hell are you saying? That sort of talk could cost you your shield, Pine.” “Why else would he have intervened and had you call me off this case, sir? Wasn’t that extraordinary on his part? I mean, what does the DD care about a dead mule?” Dobbs didn’t say anything for a long moment. Then: “What the hell are you involved in, Pine?” “Something bigger than I could have ever imagined, sir. That’s why I need your help and support. I can’t do it alone. And if the DD won’t do it, I need you to have my back, sir.” “And why do I need to bring reinforcements?” asked Dobbs after another few moments of silence. “Because I expect company here.” “Company? What do you mean, some criminals? A gang?” “Depends on how you define that, sir, but this company might actually be more dangerous.” “Look, Pine, this is beyond ridiculous. If you think—” She broke in, “Sir, I would not be asking this if it were not absolutely critical. Once you get here you will understand exactly what is going on. It’s a matter of national security. Not just for this country, but for the world.” She paused. “I’m trying to do my job, sir, as an FBI agent. I gave an oath. I intend to carry that oath out.” She once more listened to him breathing. “You’re really not joking, are you?” “I have never been more serious in my life."
