sample_id,title,author,n_quotes,event,gnomic,dialogue,paratext,unclear,ev_past,ev_present,event_past,event_present,beat_past,beat_present,pct_present,situation,label,confidence,why
top2018:6779,THERE THERE,Tommy Orange,43,19,19,5,0,0,12,8,12,7,0,1,0.4,dual,DUAL,high,"60% past / 40% present of 20, situation=dual"
top2018:5322,THE GREAT ALONE,Kristin Hannah,79,59,11,9,0,0,62,2,57,2,5,0,0.03125,retrospective,PAST,high,"97% past / 3% present of 64, situation=retrospective"
top2018:3244,NINE PERFECT STRANGERS,Liane Moriarty,71,47,10,12,2,0,47,1,46,1,1,0,0.020833333333333332,retrospective,PAST,high,"98% past / 2% present of 48, situation=retrospective"
top2018:233,A SPARK OF LIGHT,Jodi Picoult,62,25,21,12,3,1,29,0,25,0,4,0,0.0,retrospective,PAST,high,"100% past / 0% present of 29, situation=retrospective"
top2018:5955,THE OUTSIDER,Stephen King,60,22,3,32,1,2,25,3,19,3,6,0,0.10714285714285714,retrospective,PAST,high,"89% past / 11% present of 28, situation=retrospective"
top2018:5879,THE NEXT PERSON YOU MEET IN HEAVEN,Mitch Albom,52,9,32,11,0,0,15,0,9,0,6,0,0.0,retrospective,PAST,high,"100% past / 0% present of 15, situation=retrospective"
top2018:1666,EVERY BREATH,Nicholas Sparks,40,25,11,3,0,1,26,1,24,1,2,0,0.037037037037037035,retrospective,PAST,high,"96% past / 4% present of 27, situation=retrospective"
top2018:4321,STILL ME,Jojo Moyes,40,20,8,11,0,1,25,1,19,1,6,0,0.038461538461538464,retrospective,PAST,high,"96% past / 4% present of 26, situation=retrospective"
top2018:1057,CIRCE,Madeline Miller,27,14,10,3,0,0,15,1,13,1,2,0,0.0625,retrospective,PAST,high,"94% past / 6% present of 16, situation=retrospective"
top2018:1818,FIRE AND BLOOD,George R.R. Martin,27,5,6,16,0,0,11,0,5,0,6,0,0.0,retrospective,PAST,high,"100% past / 0% present of 11, situation=retrospective"
top2018:6105,THE RECKONING,John Grisham,26,22,0,4,0,0,23,1,21,1,2,0,0.041666666666666664,retrospective,PAST,high,"96% past / 4% present of 24, situation=retrospective"
top2018:3473,PAST TENSE,Lee Child,25,19,1,4,0,1,20,1,18,1,2,0,0.047619047619047616,retrospective,PAST,high,"95% past / 5% present of 21, situation=retrospective"
top2018:7239,WHERE THE CRAWDADS SING,Delia Owens,25,7,11,5,0,2,10,1,6,1,4,0,0.09090909090909091,retrospective,PAST,high,"91% past / 9% present of 11, situation=retrospective"
top2018:2758,LONG ROAD TO MERCY,David Baldacci,22,8,5,6,0,3,10,1,7,1,3,0,0.09090909090909091,retrospective,PAST,high,"91% past / 9% present of 11, situation=retrospective"
top2018:1620,ELEVATION,Stephen King,18,10,4,2,0,2,9,1,9,1,0,0,0.1,retrospective,PAST,high,"90% past / 10% present of 10, situation=retrospective"
top2018:393,ALL WE EVER WANTED,Emily Giffin,17,12,3,1,0,1,11,2,10,2,1,0,0.15384615384615385,retrospective,PAST,high,"85% past / 15% present of 13, situation=retrospective"
top2018:1288,DARK SACRED NIGHT,Michael Connelly,16,10,1,5,0,0,13,0,10,0,3,0,0.0,retrospective,PAST,high,"100% past / 0% present of 13, situation=retrospective"
top2018:430,AN AMERICAN MARRIAGE,Tayari Jones,67,28,25,14,0,0,19,13,15,13,4,0,0.40625,simultaneous,PRESENT,CONFLICT,"59% past / 41% present of 32, situation=simultaneous"
top2018:6729,THE WOMAN IN THE WINDOW,A.J. Finn,53,37,7,8,1,0,8,33,7,30,1,3,0.8048780487804879,simultaneous,PRESENT,high,"20% past / 80% present of 41, situation=simultaneous"
top2018:5464,THE IMMORTALISTS,Chloe Benjamin,47,29,5,13,0,0,12,25,10,19,2,6,0.6756756756756757,simultaneous,PRESENT,high,"32% past / 68% present of 37, situation=simultaneous"
top2018:6043,THE PRESIDENT IS MISSING,Bill Clinton and James P,38,12,22,4,0,0,3,12,3,9,0,3,0.8,simultaneous,PRESENT,high,"20% past / 80% present of 15, situation=simultaneous"
top2018:5997,THE PERFECT COUPLE,Elin Hilderbrand,23,13,6,3,0,1,1,12,1,12,0,0,0.9230769230769231,simultaneous,PRESENT,high,"8% past / 92% present of 13, situation=simultaneous"
top2018:6700,THE WIFE BETWEEN US,Greer Hendricks and Sara,19,11,5,2,0,1,5,6,5,6,0,0,0.5454545454545454,simultaneous,PRESENT,CONFLICT,"45% past / 55% present of 11, situation=simultaneous"
