sample_id,quote_id,quote_text
top2023:YELLOWFACE|R.F. Kuang,q08267,Writing is the closest thing we have to real magic
top2023:YELLOWFACE|R.F. Kuang,q08268,"Reading should be an enjoyable experience, not a chore."
top2023:YELLOWFACE|R.F. Kuang,q08269,"Not every girl has a rape story. But almost every girl has an “I’m not sure, I didn’t like it, but I can’t quite call it rape” story."
top2023:YELLOWFACE|R.F. Kuang,q08270,But the best revenge is to thrive.
top2023:YELLOWFACE|R.F. Kuang,q08271,"Social media is such a tiny, insular space. Once you close your screen, no one gives a fuck."
top2023:YELLOWFACE|R.F. Kuang,q08272,"Every writer I know feels this way about someone else. Writing is such a solitary activity. You have no assurance that what you’re creating has any value, and any indication that you’re behind in the rat race sends you spiraling into the pits of despair. Keep your eyes on your own paper, they say. But that’s hard to do when everyone else’s papers are flapping constantly in your face."
top2023:YELLOWFACE|R.F. Kuang,q08273,What more can we want as writers than such immortality? Don't ghosts just want to be remembered?
top2023:YELLOWFACE|R.F. Kuang,q08274,"Awards don’t matter—at least, I am told this constantly by the people who regularly win them."
top2023:YELLOWFACE|R.F. Kuang,q08275,"It's like pressing a bleeding sore repeatedly, trying to see how far you can go with your tolerance for pain, because if you know the limits of it, you gain some sense of control over it."
top2023:YELLOWFACE|R.F. Kuang,q08276,"This industry is built on silencing us, stomping us into the ground, and hurling money at white people to produce racist stereotypes of us."
top2023:YELLOWFACE|R.F. Kuang,q08277,"The truth is fluid, there is always another way to spin the story."
top2023:YELLOWFACE|R.F. Kuang,q08278,"The cultural constructions are clear: so many Chinese ghosts are hungry, angry, voiceless women. In taking Athena's legacy, I've added one to their ranks."
top2023:YELLOWFACE|R.F. Kuang,q08279,"Every time she tried to branch out to new projects, they kept insisting that Asian was her brand, was what her audience expected. They never let her talk about anything other than being an immigrant, other than the fact that half her family died in Cambodia, that her dad killed himself on the twentieth anniversary of Tiananmen. Racial trauma sells, right? They treated her like a museum"
top2023:YELLOWFACE|R.F. Kuang,q08280,Who has the right to write about suffering?
top2023:YELLOWFACE|R.F. Kuang,q08281,Life is so short. Why do we build up these walls?
top2023:YELLOWFACE|R.F. Kuang,q08282,"For the first time since I submitted the manuscript, I feel a deep wash of shame. This isn’t my history, my heritage. This isn’t my community. I am an outsider, basking in their love under false pretenses. It should be Athena sitting here, smiling with these people, signing books and listening to the stories of her elders."
top2023:YELLOWFACE|R.F. Kuang,q08283,"It’s hard, after all, to be friends with someone who outshines you at every turn."
top2023:YELLOWFACE|R.F. Kuang,q08284,"I need to create. It is a physical urge, a craving, like breathing, like eating; when it’s going well, it’s better than sex, and when it’s not, I can’t take pleasure in anything else."
top2023:YELLOWFACE|R.F. Kuang,q08285,"People always describe jealousy as this sharp, green, venomous thing. Unfounded, vinegary, mean-spirited. But I’ve found that jealousy, to writers, feels more like fear. Jealousy is the spike in my heart rate when I glimpse news of Athena’s success on Twitter—another book contract, awards nominations, special editions, foreign rights deals. Jealousy is constantly comparing myself to her and coming up short; is panicking that I’m not writing well enough or fast enough, that I am not, and never will be, enough. Jealousy means that even just learning that Athena’s signing a six- figure option deal with Netflix means that I’ll be derailed for days, unable to focus on my own work, mired by shame and self-disgust every time I see one of her books in a bookstore display."
top2023:YELLOWFACE|R.F. Kuang,q08286,"But Twitter is real life; it's realer than real life, because that is the realm that the social economy of publishing exists on, because the industry has no alternative."
top2023:YELLOWFACE|R.F. Kuang,q08287,"I wonder if that’s the final, obscure part of how publishing works: if the books that become big do so because at some point everyone decided, for no good reason at all, that this would be the title of the moment."
top2023:YELLOWFACE|R.F. Kuang,q08288,which is why revulsion for Rupi Kaur’s poetry has become a millennial personality trait.
top2023:YELLOWFACE|R.F. Kuang,q08289,"Most of the accounts that participate so clearly do not care about the truth. They’re here for the entertainment. These people love to have a target, and they’ll tear apart anything you put in front of them."
top2023:YELLOWFACE|R.F. Kuang,q08290,"I would have liked Allie better if she were a shy, bookish type I could have taken on shopping sprees at indie bookstores instead of an iPhone-addicted, TikTok-obsessed basic bitch in training."
top2023:YELLOWFACE|R.F. Kuang,q08291,"I've written myself into a corner. The first two-thirds of the book were a breeze to compose, but what do I do with the ending? Where do I leave my protagonist, now that there's a hungry ghost in the mix, and no clear resolution?"
top2023:YELLOWFACE|R.F. Kuang,q08292,"Maybe it was Highlander Syndrome—I’ve read about that before, the way members of marginalized groups feel threatened if someone else like them starts finding success."
top2023:YELLOWFACE|R.F. Kuang,q08293,"(I thought about posting a phone screenshot of my statement drafted in the Notes app, but Notes app apologies have become a genre in and of themselves, and not a very respectable one.)"
top2023:YELLOWFACE|R.F. Kuang,q08294,"A writer needs to be read. I want to move people's hearts. I want my books in stores all over the world. I couldn't stand to be like Mom or Rory, living their little and self-contained lives with no great projects or prospects to propel them from one chapter to the next. I want the world to wait with bated breath for what I will say next. I want my words to last forever. I want to be eternal, permanent; when I'm gone, I want to leave behind a mountain of pages that scream, Juniper Song was here, and she told us what was on her mind."
top2023:YELLOWFACE|R.F. Kuang,q08295,"This is what I love about writing - it offers us endless opportunities to reinvent ourselves, and the stories we tell about ourselves. It lets us acknowledge every aspect of our heritage and history."
top2023:YELLOWFACE|R.F. Kuang,q08296,"But that's what I need right now: a child's blind faith that the world is so simple, and that if I didn't mean to do a bad thing, then none of this is my fault."
top2023:YELLOWFACE|R.F. Kuang,q08297,"She’s using the pen name Juniper Song to pretend to be Chinese American. She’s taken new author photos to look more tan and ethnic, but she’s as white as they come. June Hayward, you are a thief and a liar. You’ve stolen my legacy, and now you spit on my grave."
top2023:YELLOWFACE|R.F. Kuang,q08298,"But now, I see, author efforts have nothing to do with a book’s success. Bestsellers are chosen. Nothing you do matters. You just get to enjoy the perks along the way."
top2023:YELLOWFACE|R.F. Kuang,q08299,and who thought that Asian identification boiled down to being annoyingly obsessed with bubble tea and BTS were diluting the radical force of the diaspora canon.
top2023:YELLOWFACE|R.F. Kuang,q08300,"Publishing gossip, it turns out, is a lot of fun when you’re speculating about other people’s misfortune."
top2023:YELLOWFACE|R.F. Kuang,q08301,I dub historical exploitation novels: inauthentic stories that use troubled pasts as an entertaining set piece for white entertainment.
top2023:YELLOWFACE|R.F. Kuang,q08302,I’m a work of art. All construct. I’m Athena Del Rey.
top2023:YELLOWFACE|R.F. Kuang,q08303,We have one of those skin-deep friendships where you manage to spend a lot of time together without really getting to know the other person.
top2023:YELLOWFACE|R.F. Kuang,q08304,"Two wrongs don't make a right, obviously, but the internet is very bad at recognizing this."
top2023:YELLOWFACE|R.F. Kuang,q08305,"My refuge was books, when I didn't like the world around me. I would read"
top2023:YELLOWFACE|R.F. Kuang,q08306,It’s about wishing you knew who your parents were. It’s about needing things from your parents you’ll never get.
top2023:YELLOWFACE|R.F. Kuang,q08307,Since the most annoying symptom of anxiety is refusing to believe the obvious and rational explanation
top2023:YELLOWFACE|R.F. Kuang,q08308,"We must make space for the subaltern voices, the suppressed narratives."
top2023:YELLOWFACE|R.F. Kuang,q08309,"But isn't that what ghosts do? Howl, moan, make themselves into spectacles? That's the whole point of a ghost, is it not? Anything to remind you that they're still there. Anything to keep you from forgetting."
top2023:YELLOWFACE|R.F. Kuang,q08310,"I want what Stephen King has, what Neil Gaiman has. Why not a movie deal? Why not Hollywood stardom? Why not a multimedia empire? Why not the world?"
top2023:YELLOWFACE|R.F. Kuang,q08311,"And they don’t get that film is a totally different medium, and requires different storytelling skills,” says Justin. “It’s a translation, really. And translation across mediums is inherently unfaithful to some extent. Roland Barthes. An act of translation is an act of betrayal."
top2023:YELLOWFACE|R.F. Kuang,q08312,"I feel like a meme of a clueless white person.The wildest thing about all this is that even now I cannot stop composing. I'm trying to funnel this awfulness into something lovely. My salacious roman à clef will become a horror novel. My terror will become my readers' terror. I will take my fugue state of delirious panic and compost it into a fertile bed of creativity — for aren't all the best novels borne from some madness, which is borne from truth?Perhaps, if I can capture all my fears and constrain them safely on the page, this will rob them of their power. Don't all the ancient myths tell us that we gain control over a thing once we name it?"
top2023:YELLOWFACE|R.F. Kuang,q08313,"Don't we all want a friend who won't ever challenge our superiority, because they already know it's a lost cause? Don't we all need someone we can treat as a punching bag?"
top2023:YELLOWFACE|R.F. Kuang,q08314,"We screamed back and forth a little more, relishing the other's presence at the other end of the line, for it was so nice to know someone who understood this exact dream, who knew how mere words can become sentences can become a completed masterpiece, how that masterpiece can rocket you into a wholly unrecognizable world where you have everything - a world you wrote for yourself."
top2023:YELLOWFACE|R.F. Kuang,q08315,"personality makeover. Or maybe not. The more I think about it, the more this sounds like the plots of Ratatouille and Mulan combined."
