sample_id,quote_id,quote_text
top2021:GOLDEN GIRL|Elin Hilderbrand,q06042,"Camus quote: In the midst of winter, I found there was, within me, an invincible summer."
top2021:GOLDEN GIRL|Elin Hilderbrand,q06043,But Vivi has learned that where a person comes from means far less than what she makes of herself.
top2021:GOLDEN GIRL|Elin Hilderbrand,q06044,"Even if Willa lives to be a hundred and is surrounded by children and grandchildren and great-grandchildren, she will still miss her mother. So all she can hope for are unexpected moments of grace."
top2021:GOLDEN GIRL|Elin Hilderbrand,q06045,Having a sister doesn’t always mean an automatic best friend.
top2021:GOLDEN GIRL|Elin Hilderbrand,q06046,"avocado toast with a slice of ripe hothouse tomato, a perfectly poached egg, and flaky sea salt on the excellent sourdough"
top2021:GOLDEN GIRL|Elin Hilderbrand,q06047,"Phones,” he says to Andrea. “They’ll be the death of civilization."
top2021:GOLDEN GIRL|Elin Hilderbrand,q06048,"He will get it all out—his love, his denial, his shame, his rage, his sadness, his grief. And then, once he’s an empty vessel, he can accept his heartbreak, accept himself, and start to heal. When"
top2021:GOLDEN GIRL|Elin Hilderbrand,q06049,"There’s a line at the end of the song that goes ‘Golden girl, I’ll keep you forever.’ And that was the jumping-off point for my own song. Vivi was my golden girl. She was the one I would hold above all others.” He looks at Willa. “To this day, that’s true."
top2021:GOLDEN GIRL|Elin Hilderbrand,q06050,Every show on TV is either police
top2021:GOLDEN GIRL|Elin Hilderbrand,q06051,she will realize that her heart has been exposed bare
top2021:GOLDEN GIRL|Elin Hilderbrand,q06052,Sometimes when Willa cries at night in bed
top2021:GOLDEN GIRL|Elin Hilderbrand,q06053,"Brett picks her up on Friday nights and they go together to Byers Field to watch the football games, though neither of them is the rah-rah type, and then they head to Antonio’s for pizza. On Saturdays, they do a few laps around the Parmatown Mall,"
top2021:GOLDEN GIRL|Elin Hilderbrand,q06054,"Afterward, they drive around Parma and Seven Hills in Brett’s Buick Skylark playing 100.7 WMMS (the greatest rock station in America, right there in Cleveland) so loud that the soles of Vivi’s shoes vibrate against the dashboard as the crisp Ohio air rushes in through the open windows. They park on State Road Hill or the Canal Road over in Independence and make out."
top2021:GOLDEN GIRL|Elin Hilderbrand,q06055,"Vivi was from a town called Parma, Ohio."
top2021:GOLDEN GIRL|Elin Hilderbrand,q06056,Sisters can be a mixed bag.
top2021:GOLDEN GIRL|Elin Hilderbrand,q06057,"If you, Vivi, had made JP feel more treasured, more loved, more central in your life, then he wouldn’t have gone outside the marriage to find affirmation."
top2021:GOLDEN GIRL|Elin Hilderbrand,q06058,"All I had to do was hug them, kiss them, rock them to sleep, read to them, tell them I was proud of them and that I was happy, so happy, that they were mine."
top2021:GOLDEN GIRL|Elin Hilderbrand,q06059,"Cloudstreet, by Tim Winton; Song of Solomon, by Toni Morrison; White Fur, by Jardine Libaire; and—oh, baby—Adultery and Other Choices, by Andre Dubus, who might be the writer Vivi loves most."
top2021:GOLDEN GIRL|Elin Hilderbrand,q06060,an interrobang is an unorthodox combination of question mark and exclamation point. How did this happen?!!!???
top2021:GOLDEN GIRL|Elin Hilderbrand,q06061,"At the hospital, an unfamiliar doctor told them that Vivi hadn't made it. She didn't make it was too gentle a phrase because it sounded like Vivi hadn't made it this time but could maybe try again."
