sample_id,title,author,n_quotes,event,gnomic,dialogue,paratext,unclear,ev_past,ev_present,event_past,event_present,beat_past,beat_present,pct_present,situation,label,confidence,why
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney","BEAUTIFUL WORLD, WHERE ARE YOU",Sally Rooney,68,42,16,10,0,0,19,28,14,28,5,0,0.5957446808510638,dual,DUAL,high,"40% past / 60% present of 47, situation=dual"
top2021:CALL US WHAT WE CARRY|Amanda Gorman,CALL US WHAT WE CARRY,Amanda Gorman,26,0,0,0,0,26,0,0,0,0,0,0,,unclear,EXCLUDED-verse,,not prose fiction
top2021:THE HILL WE CLIMB|Amanda Gorman,THE HILL WE CLIMB,Amanda Gorman,16,0,0,0,0,16,0,0,0,0,0,0,,unclear,EXCLUDED-verse,,not prose fiction
top2021:APPLES NEVER FALL|Liane Moriarty,APPLES NEVER FALL,Liane Moriarty,80,62,9,9,0,0,66,1,61,1,5,0,0.014925373134328358,retrospective,PAST,high,"99% past / 1% present of 67, situation=retrospective"
top2021:HARLEM SHUFFLE|Colson Whitehead,HARLEM SHUFFLE,Colson Whitehead,73,49,14,10,0,0,54,1,48,1,6,0,0.01818181818181818,retrospective,PAST,high,"98% past / 2% present of 55, situation=retrospective"
top2021:MALIBU RISING|Taylor Jenkins Reid,MALIBU RISING,Taylor Jenkins Reid,69,44,15,4,0,6,46,2,42,2,4,0,0.041666666666666664,retrospective,PAST,high,"96% past / 4% present of 48, situation=retrospective"
top2021:KLARA AND THE SUN|Kazuo Ishiguro,KLARA AND THE SUN,Kazuo Ishiguro,61,28,1,31,0,1,31,5,24,4,7,1,0.1388888888888889,retrospective,PAST,high,"86% past / 14% present of 36, situation=retrospective"
top2021:THE LINCOLN HIGHWAY|Amor Towles,THE LINCOLN HIGHWAY,Amor Towles,58,15,23,15,0,5,18,1,15,0,3,1,0.05263157894736842,retrospective,PAST,high,"95% past / 5% present of 19, situation=retrospective"
top2021:THE MAIDENS|Alex Michaelides,THE MAIDENS,Alex Michaelides,57,32,7,11,5,2,35,2,30,2,5,0,0.05405405405405406,retrospective,PAST,high,"95% past / 5% present of 37, situation=retrospective"
top2021:THE WISH|Nicholas Sparks,THE WISH,Nicholas Sparks,48,25,8,14,0,1,29,0,25,0,4,0,0.0,retrospective,PAST,high,"100% past / 0% present of 29, situation=retrospective"
top2021:A COURT OF SILVER FLAMES|Sarah J. Maas,A COURT OF SILVER FLAMES,Sarah J. Maas,26,11,1,13,1,0,17,0,11,0,6,0,0.0,retrospective,PAST,high,"100% past / 0% present of 17, situation=retrospective"
top2021:GO TELL THE BEES THAT I AM GONE|Diana Gabaldon,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,25,9,6,10,0,0,17,0,9,0,8,0,0.0,retrospective,PAST,high,"100% past / 0% present of 17, situation=retrospective"
top2021:THE FOUR WINDS|Kristin Hannah,THE FOUR WINDS,Kristin Hannah,25,13,5,6,1,0,12,1,12,1,0,0,0.07692307692307693,retrospective,PAST,high,"92% past / 8% present of 13, situation=retrospective"
top2021:THE LOST APOTHECARY|Sarah Penner,THE LOST APOTHECARY,Sarah Penner,25,15,8,2,0,0,17,0,15,0,2,0,0.0,retrospective,PAST,high,"100% past / 0% present of 17, situation=retrospective"
top2021:THE CELLIST|Daniel Silva,THE CELLIST,Daniel Silva,22,13,2,1,3,3,12,1,12,1,0,0,0.07692307692307693,retrospective,PAST,high,"92% past / 8% present of 13, situation=retrospective"
top2021:THE JUDGE'S LIST|John Grisham,THE JUDGE'S LIST,John Grisham,22,11,2,9,0,0,12,0,11,0,1,0,0.0,retrospective,PAST,high,"100% past / 0% present of 12, situation=retrospective"
top2021:THE STRANGER IN THE LIFEBOAT|Mitch Albom,THE STRANGER IN THE LIFEBOAT,Mitch Albom,22,4,7,9,0,2,6,2,2,2,4,0,0.25,retrospective,PAST,high,"75% past / 25% present of 8, situation=retrospective"
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,STATE OF TERROR,Hillary Rodham Clinton a,20,8,3,6,2,1,8,1,8,0,0,1,0.1111111111111111,retrospective,PAST,high,"89% past / 11% present of 9, situation=retrospective"
top2021:PROJECT HAIL MARY|Andy Weir,PROJECT HAIL MARY,Andy Weir,79,34,16,29,0,0,11,45,6,28,5,17,0.8035714285714286,simultaneous,PRESENT,high,"20% past / 80% present of 56, situation=simultaneous"
top2021:CLOUD CUCKOO LAND|Anthony Doerr,CLOUD CUCKOO LAND,Anthony Doerr,69,23,23,21,0,2,7,29,6,17,1,12,0.8055555555555556,simultaneous,PRESENT,high,"19% past / 81% present of 36, situation=simultaneous"
top2021:WISH YOU WERE HERE|Jodi Picoult,WISH YOU WERE HERE,Jodi Picoult,63,24,26,11,1,1,5,27,5,19,0,8,0.84375,simultaneous,PRESENT,high,"16% past / 84% present of 32, situation=simultaneous"
top2021:THE LAST THING HE TOLD ME|Laura Dave,THE LAST THING HE TOLD ME,Laura Dave,52,21,17,6,6,2,11,14,8,13,3,1,0.56,simultaneous,PRESENT,CONFLICT,"44% past / 56% present of 25, situation=simultaneous"
top2021:THE PAPER PALACE|Miranda Cowley Heller,THE PAPER PALACE,Miranda Cowley Heller,47,27,7,8,3,2,5,25,5,22,0,3,0.8333333333333334,simultaneous,PRESENT,high,"17% past / 83% present of 30, situation=simultaneous"
top2021:BILLY SUMMERS|Stephen King,BILLY SUMMERS,Stephen King,44,20,18,5,1,0,2,20,2,18,0,2,0.9090909090909091,simultaneous,PRESENT,high,"9% past / 91% present of 22, situation=simultaneous"
top2021:GOLDEN GIRL|Elin Hilderbrand,GOLDEN GIRL,Elin Hilderbrand,20,11,5,3,0,1,5,8,5,6,0,2,0.6153846153846154,simultaneous,PRESENT,CONFLICT,"38% past / 62% present of 13, situation=simultaneous"
top2021:WIN|Harlan Coben,WIN,Harlan Coben,18,7,9,2,0,0,2,7,2,5,0,2,0.7777777777777778,simultaneous,PRESENT,high,"22% past / 78% present of 9, situation=simultaneous"
