sample_id,quote_id,quote_text
top2007:7365,q01451,"We’re all good when it suits us, he used to say: that doesn’t count. It’s when you want so badly to do something wrong—when you’re about to make a fortune from a dishonest deal, or kiss the lovely lips of your neighbor’s wife, or tell a lie to get yourself out of terrible trouble—that’s when you need the rules. Your integrity is like a sword, he would say: you shouldn’t wave it until you’re about to put it to the test."
top2007:7365,q01452,you should first follow the plow if you want to dance the harvest jig.
top2007:7365,q01453,"It was an odd relationship, but then she was an extraordinary woman: a prioress who doubted much of what the church taught; an acclaimed healer who rejected medicine as practised by physicians; and a nun who made enthusiastic love to her man whenever she could get away with it. If I wanted a normal relationship, Merthin told himself, I should have picked a normal girl."
top2007:7365,q01454,"You see, all that I ever held dear has been taken from me,"" she said in a matter-of-fact tone. ""And when you've lost everything-"" Her facade began to crumble, and her voice broke, but she made herself carry on. ""When you've lost everything, you've got nothing to lose."
top2007:7365,q01455,"Everybody takes what they life from the teachings of the church, and ignores the parts that don't suit them."
top2007:7365,q01456,What news? There's nothing to tell. I'm a nun.
top2007:7365,q01457,"Any man who needs to surround himself with loyal acolytes doesn’t really believe in himself,” he would say. “And if he doesn’t believe in himself, why should I?"
top2007:7365,q01458,"In the Arab world, every work of art has a tiny flaw, so that it doesn’t sacrilegiously compete with the perfection of God."
top2007:7365,q01459,"When you were trying to enforce law and order, it was difficult to explain that the rules did not actually apply to you personally."
top2007:7365,q01460,"When I'm brave and strong, and care for children and the sick and the poor, I become a better person. And when I'm cruel, cowardly, or tell lies, or get drunk, I turn into someone less worthy, and I can't respect myself. That's the divine retribution I believe in"
top2007:7365,q01461,"Gwenda sighed. She did not know how to say what she felt. It was not just love. She thought about him all the time, and she did not know how she could live without him. She daydreamed about kidnapping him and locking him up in a hut deep in the forest so that he could never escape from her."
top2007:7365,q01462,"It was said that pilgrims should not spend too much time planning their journey, for they might learn of so many hazards that they would decide not to go."
top2007:7365,q01463,"You didn’t ask for a priest.” “Whether I’ve been good or bad, I don’t think God will be fooled by a last-minute change of heart."
top2007:7365,q01464,Never call a meeting until the outcome is a foregone conclusion.
top2007:7365,q01465,Don’t worry. We who are born poor have to use cunning to get what we want. Scruples are for the privileged.” She
top2007:7365,q01466,"He had realized that she was all the joy in his world. If the weather was fine, he wanted to walk in the sunshine with her; if he saw something beautiful, he wanted to show it to her; if he heard something funny, his first thought was to tell her, and see her smile. His work gave him pleasure, especially when he came up with clever solutions to intractable problems; but it was a cold, cerebral satisfaction, and he knew that his life would be a long winter without Caris."
top2007:7365,q01467,"The sight of them all made Caris marvel: each individual had a different life, every one of them rich and complex, with dramas in the past and challenges in the future, happy memories and secret sorrows, and a crowd of friends and enemies and loved ones."
top2007:7365,q01468,The worst negotiator in the world is a man who believes he's clever.
top2007:7365,q01469,"A woman’s life was a house of closed doors: she could not be an apprentice, she could not study at the university, she could not be a priest or a physician, or shoot a bow or fight with a sword, and she could not marry without submitting herself to the tyranny of her husband."
top2007:7365,q01470,"I'm on your side, always,"" she said. ""But I remember what it was like to be a sixteen-year-old girl. She's as worried as you are about her relationship with Jake. But she's not admitting it, even to herself, because that would wound her pride. So she resents you for speaking the truth. She has constructed a fragile defense around her self-esteem, and you just tear it down.""""What should I do?""""Help her build a better fence."
top2007:7365,q01471,"It’s hard to be a woman, she thought. You love your baby with all your heart and soul, and then one day he just leaves."
top2007:7365,q01472,"No matter how long she argued, people would believe the priests, not"
top2007:7365,q01473,"What should we do?” “If you want to live, you should go to church, confess your sins, pray, and lead a better life."
top2007:7365,q01474,"The world has become wicked. Heresy, lasciviousness, and disrespect are rife. Men question authority, women flaunt their bodies, children disobey their parents. God is angry, and His rage is fearsome. Don’t try to run from His justice! It will find you, no matter where you hide."
top2007:7365,q01475,"People know the difference between right and wrong—and if they don’t, that’s what priests are for."
